id,Car class,Car,Car_Class_ID,image file,Game,Style,DLC,Owned,FILEPATH,Iracing_ID,ams2_livery_folder
93,Ford Mustang FR500S,Ford Mustang FR500S,28,,Iracing,,,No,fr500s,30,
94,IMSA 23,Ford Mustang GT3,4091,Ford Mustang GT3,Iracing,Sports Car,,No,fordmustanggt3,185,
95,GT4 Class,Ford Mustang GT4,2268,Ford Mustang GT4,Iracing,Sports Car,,No,fordmustanggt4,204,
96,,Formula Renault 2.0,,,Iracing,,,No,formularenault20,N/A,
97,,Formula Renault 3.5,,,Iracing,,,No,formularenault35,N/A,
98,TCR,Honda Civic Type R TCR,4101,,Iracing,,,No,hondacivictyper,147,
99,HPD ARX-01c,HPD ARX-01c,40,,Iracing,,,No,hpdarx01c,39,
100,TCR,Hyundai Elantra N TCR,4101,,Iracing,,,No,hyundaielantracn7,146,
101,,Hyundai Veloster N TCR,,,Iracing,,,No,hyundaivelostern,153,
102,Indy Pro 2000 PM-18,Indy Pro 2000 PM-18,2265,,Iracing,,,No,indypropm18,120,
103,IMSA 23,Lamborghini Huracán GT3 EVO,4091,Lamborghini Huracán GT3 EVO,Iracing,Sports Car,,No,lamborghinievogt3,133,
104,Late Model Stock,Late Model Stock,4017,Late Model Stock,Iracing,Oval,,No,latemodel2023,164,
105,Ligier JS P320,Ligier JS P320,4018,Ligier JS P320,Iracing,Sports Car,,No,ligierjsp320,165,
106,,Limited Dirt Late Model,,,Iracing,,,No,dirtlatemodel\350,N/A,
107,Lotus 49,Lotus 49,46,,Iracing,,,No,lotus49,42,
108,Lotus 79,Lotus 79,22,,Iracing,,,No,lotus79,25,
109,,Lucas Oil Off Road Pro 2 Lite,,,Iracing,,,Yes,protrucks\pro2lite,N/A,
110,,Lucas Oil Off Road Pro 2 Truck,,,Iracing,,,No,protrucks\pro2truck,N/A,
111,,Lucas Oil Off Road Pro 4 Truck,,,Iracing,,,No,protrucks\pro4truck,N/A,
112,GT4 Class,McLaren 570S GT4,2268,McLaren 570S GT4,Iracing,Sports Car,,No,mclaren570sgt4,135,
113,IMSA 23,McLaren 720S GT3 EVO,4091,McLaren 720S GT3 EVO,Iracing,Sports Car,,No,mclaren720sgt3,188,
114,,McLaren MP4-12C GT3,,,Iracing,,,No,mclarenmp4,N/A,
115,,McLaren MP4-30,,,Iracing,,,No,mclarenmp430,N/A,
116,IMSA 23,Mercedes-AMG GT3 2020,4091,Mercedes-AMG GT3 2020,Iracing,,,No,mercedesamgevogt3,156,
117,GT4 Class,Mercedes-AMG GT4,2268,Mercedes-AMG GT4,Iracing,Sports Car,,No,mercedesamggt4,157,
118,F1 W12,Mercedes-AMG W12 E Performance,3185,,Iracing,,,No,mercedesw12,145,
119,F1,Mercedes-AMG W13 E Performance,4013,Mercedes-AMG W13 E Performance,Iracing,Open Wheel,,No,mercedesw13,161,
120,Modified - SK,Modified - SK,2,Modified - SK,Iracing,Oval,,No,skmodified,2,
121,NASCAR CUP,NASCAR Cup Series Chevrolet Camaro ZL1,50,,Iracing,,,No,stockcars\camarozl12018,103,
122,NASCAR CUP,NASCAR Cup Series Ford Mustang,50,,Iracing,,,No,stockcars\fordmustang2019,110,
123,Nascar Cup Series,NASCAR Cup Series Next Gen Chevrolet Camaro ZL1,2978,NASCAR Cup Series Next Gen Chevrolet Camaro ZL1,Iracing,Oval,,No,stockcars\camarozl12022,139,
124,Nascar Cup Series,NASCAR Cup Series Next Gen Ford Mustang,2978,NASCAR Cup Series Next Gen Ford Mustang,Iracing,Oval,,No,stockcars\fordmustang2022,140,
125,Nascar Cup Series,NASCAR Cup Series Next Gen Toyota Camry,2978,NASCAR Cup Series Next Gen Toyota Camry,Iracing,Oval,,No,stockcars\toyotacamry2022,141,
126,NASCAR CUP,NASCAR Cup Series Toyota Camry,50,,Iracing,,,No,stockcars\toyotacamry,56,
