id,Car class,Car,Car_Class_ID,image file,Game,Style,DLC,Owned,FILEPATH,Iracing_ID,ams2_livery_folder
9054,Formula Classic Gen 3,Formula Classic Gen3 Model2,9054,F-Classic-Gen3 Model 2,AMS2,Open Wheel,,Yes,,,formula_classic_g3m2
9055,Formula Classic Gen 3,Formula Classic Gen3 Model3,9054,F-Classic-Gen3 Model 3,AMS2,Open Wheel,,Yes,,,formula_classic_g3m3
9056,Formula Classic Gen 3,Formula Classic Gen3 Model4,9054,F-Classic-Gen3 Model 4,AMS2,Open Wheel,,Yes,,,formula_classic_g3m4
9057,Formula Classic Gen 3,McLaren MP4/5B,9054,F-Classic-Gen3 McLaren MP45B,AMS2,Open Wheel,Brazilian Racing Legends,No,,,mclaren_mp45b
9058,Formula Classic Gen 4,Formula Classic Gen4 Model1,9055,F-Classic-Gen4 Model 1,AMS2,Open Wheel,,Yes,,,formula_classic_g4m1
9059,Formula Classic Gen 4,Formula Classic Gen4 Model2,9055,F-Classic-Gen4 Model 2,AMS2,Open Wheel,,Yes,,,formula_classic_g4m2
9060,Formula Classic Gen 4,Formula Classic Gen4 Model3,9055,F-Classic-Gen4 Model 3,AMS2,Open Wheel,,Yes,,,formula_classic_g4m3
9061,Formula Classic Gen 4,McLaren MP4/6,9055,F-Classic-Gen4 McLaren MP46,AMS2,Open Wheel,Brazilian Racing Legends,No,,,mclaren_mp46
9062,Formula HiTech Gen 1,Formula HiTech Gen1 Model1,9056,F-HiTech Gen1 Model 1,AMS2,Open Wheel,Formula HiTech,No,,,formula_hitech_g1m1
9063,Formula HiTech Gen 1,Formula HiTech Gen1 Model2,9056,F-HiTech Gen1 Model 2,AMS2,Open Wheel,Formula HiTech,No,,,formula_hitech_g1m2
9064,Formula HiTech Gen 1,Formula HiTech Gen1 Model3,9056,F-HiTech Gen1 Model 3,AMS2,Open Wheel,Formula HiTech,No,,,formula_hitech_g1m3
9065,Formula HiTech Gen 1,Formula HiTech Gen1 Model4,9056,F-HiTech Gen1 Model 4,AMS2,Open Wheel,Formula HiTech,No,,,formula_hitech_g1m4
9066,Formula HiTech Gen 2,Formula HiTech Gen2 Model1,9023,F-HiTech Gen2 Model 1,AMS2,Open Wheel,Formula HiTech,No,,,formula_hitech_g2m1
9067,Formula HiTech Gen 2,Formula HiTech Gen2 Model2,9023,F-HiTech Gen2 Model 2,AMS2,Open Wheel,Formula HiTech,No,,,formula_hitech_g2m2
9068,Formula HiTech Gen 2,Formula HiTech Gen2 Model3,9023,F-HiTech Gen2 Model 3,AMS2,Open Wheel,Formula HiTech,No,,,formula_hitech_g2m3
9069,Formula HiTech Gen 1,McLaren MP4/7A,9056,F-HiTech Gen1 McLaren MP47A,AMS2,Open Wheel,Formula HiTech,No,,,mclaren_mp47
9070,Formula HiTech Gen 2,McLaren MP4/8,9023,F-HiTech Gen2 McLaren MP48,AMS2,Open Wheel,Formula HiTech,No,,,mclaren_mp48
9071,Formula Dirt,Formula Dirt,9032,F-Dirt,AMS2,Rallycross,Adrenaline 1,No,,,formula_dirt
9072,Formula Junior,Formula Junior,9057,F-Junior,AMS2,Open Wheel,,Yes,,,formula_junior
9073,Formula V8 Gen 3,Formula V8 Gen3,9024,F-Reiza,AMS2,Open Wheel,,Yes,,,formula_reiza
9074,Formula Retro Gen 1,Brabham BT44,9058,F-Retro Gen 1 Brabham BT44,AMS2,Open Wheel,,Yes,,,
9075,Formula Retro Gen 1,Formula Retro V12,9058,F-Retro Gen 1 V12,AMS2,Open Wheel,,Yes,,,formula_retro_v12
9076,Formula Retro Gen 1,Formula Retro V8,9058,F-Retro Gen 1 V8,AMS2,Open Wheel,,Yes,,,formula_retro_v8
9077,Formula Retro Gen 1,Lotus Type 72E,9058,F-Retro Gen 1 Lotus Type 72E,AMS2,Open Wheel,,Yes,,,lotus_72e
9078,Formula Retro Gen 1,McLaren M23,9058,F-Retro Gen 1 McLaren M23,AMS2,Open Wheel,,Yes,,,mclaren_m23
9079,Formula Retro Gen 2,Brabham BT46B,9059,F-Retro Gen 2 Brabham BT46B,AMS2,Open Wheel,,Yes,,,brabham_bt46
9080,Formula Retro Gen 2,Brabham BT49,9059,F-Retro Gen 2 Brabham BT49,AMS2,Open Wheel,Brazilian Racing Legends,No,,,brabham_bt49
9081,Formula Retro Gen 2,Formula Retro Gen2,9059,F-Retro Gen 2 Formula Retro Gen2,AMS2,Open Wheel,,Yes,,,formula_retro_g2
9082,Formula Retro Gen 2,Lotus 79,9059,F-Retro Gen 2 Lotus 79,AMS2,Open Wheel,,Yes,,,lotus_79
9083,Formula Retro Gen 3,Brabham BT52,,F-Retro Gen 3 Brabham BT52,AMS2,Open Wheel,Brazilian Racing Legends,No,,,brabham_bt52
9084,Formula Retro Gen 3,Formula Retro Gen3 DFY,,F-Retro Gen 3 DFY,AMS2,Open Wheel,,Yes,,,formula_retro_g3
9085,Formula Retro Gen 3,Formula Retro Gen3 Turbo,,F-Retro Gen 3 Turbo,AMS2,Open Wheel,,Yes,,,formula_retro
9086,Formula Retro Gen 3,McLaren MP4/1C,,F-Retro Gen 3 McLaren MP4/1C,AMS2,Open Wheel,,Yes,,,mclaren_mp4_1c
9087,Formula Hybrid Gen 2,Formula Ultimate Hybrid Gen2,,F-Ultimate,AMS2,Open Wheel,,Yes,,,formula_ultimate_2022
9088,Formula Hybrid Gen 3,Formula Ultimate Hybrid Gen3,9026,F-Ultimate_Gen2,AMS2,Open Wheel,,Yes,,,formula_ultimate_2024
9089,Formula USA 2023,Formula USA 2023,9025,F-USA_2023,AMS2,Open Wheel,Racin´ USA 3,No,,,formula_usa_2023
9090,Formula V10 Gen 1,Formula V10 Gen1,,F-V10 Gen 1 V10,AMS2,Open Wheel,,Yes,,,formula_v10_g1
9091,Formula V10 Gen 1,McLaren MP4/12,,F-V10 McLaren MP4/12,AMS2,Open Wheel,,Yes,,,mclaren_mp4_12
9092,Formula V10 Gen 2,Formula V10 Gen2,,F-V10_Gen2,AMS2,Open Wheel,,Yes,,,formula_v10
9093,Formula V12,Formula V12,,F-V12,AMS2,Open Wheel,,Yes,,,formula_v12
9094,Formula Vintage Gen 1,Formula Vintage Gen1 Model1,,F-Vintage Gen1 Model 1,AMS2,Open Wheel,,Yes,,,formula_vintage_g1m1
9095,Formula Vintage Gen 1,Formula Vintage Gen1 Model2,,F-Vintage Gen1 Model 2,AMS2,Open Wheel,,Yes,,,formula_vintage_g1m2
9096,Formula Vintage Gen 2,Brabham BT26A,,F-Vintage Gen2 Brabham BT26A,AMS2,Open Wheel,,Yes,,,brabham_bt26
9097,Formula Vintage Gen 2,Formula Vintage Gen2 Model1,,F-Vintage Gen2 Model 1,AMS2,Open Wheel,,Yes,,,formula_vintage_g2m1
9098,Formula Vintage Gen 2,Formula Vintage Gen2 Model2,,F-Vintage Gen2 Model 2,AMS2,Open Wheel,,Yes,,,formula_vintage_g2m2
9099,Formula Vintage Gen 2,Lotus Type 49C,,F-Vintage Gen2 Lotus Type 49C,AMS2,Open Wheel,,Yes,,,lotus_49c
9100,Formula Inter,Fórmula Inter MG15,9021,F-Inter,AMS2,Open Wheel,,Yes,,,formula_inter
9101,Formula Vee Brazil Gen 1,Formula Vee Gen1,9018,F-Vee,AMS2,Open Wheel,,Yes,,,formula_vee
9102,Formula Vee Brazil Gen 1,Formula Vee Gen1 Fin,9018,F-Vee,AMS2,Open Wheel,,Yes,,,formula_vee_fin
9103,Formula Vee Brazil Gen 2,Formula Vee Gen2,9019,F-Vee_Gen2,AMS2,Open Wheel,,Yes,,,formula_vee_gen2
9104,Formula Trainer,Formula Trainer,9036,F-Trainer,AMS2,Open Wheel,,Yes,,,formula_trainer
9105,Formula Trainer Advanced,Formula Trainer Advanced,9020,F-Trainer_A,AMS2,Open Wheel,,Yes,,,formula_trainer_d
9106,Ginetta G40 Cup,Ginetta G40,9001,G40Cup,AMS2,Sports Car,,Yes,,,ginetta_g40_cup
9107,Ginetta G55 Supercup,Ginetta G55,,G55Supercup,AMS2,Sports Car,,Yes,,,ginetta_g55_gt4_2
9108,Group A,Audi V8 quattro DTM,9038,Group A Audi V8 quattro DTM,AMS2,Sports Car,,Yes,,,audi_v8_dtm
9109,Group A,BMW M3 Sport Evo GrA,9038,Group A BMW M3 Sport Evo GrA,AMS2,Sports Car,,Yes,,,bmw_m3_e30_a
9110,Group A,Mercedes-Benz 190E EVO 2 DTM,9038,Group A Mercedes-Benz 190E EVO 2 DTM,AMS2,Sports Car,,Yes,,,mercedes_evo2_dtm
9111,Group C,Chevrolet Corvette GTP,9039,Group C Chevrolet Corvette GTP,AMS2,Sports Car,,Yes,,,corvette_gtp
9112,Group C,Nissan R89C,9039,Group C Nissan R89C,AMS2,Sports Car,,Yes,,,nissan_r89c
9113,Group C,Porsche 962C,9039,Group C Porsche 962C,AMS2,Sports Car,,Yes,,,porsche_962c
9114,Group C,Sauber Mercedes C9,9039,Group C Sauber Mercedes C9,AMS2,Sports Car,,Yes,,,sauber_c9
9115,GT Classic,Chevrolet Corvette C3.R,,GT Classic Chevrolet Corvette C3.R,AMS2,Sports Car,,Yes,,,chevrolet_corvette_c3_rc
9116,GT Classic,Chevrolet Corvette C3.R Convertible,,GT Classic Chevrolet Corvette C3.R Convertible,AMS2,Sports Car,,Yes,,,chevrolet_corvette_c3_rcc
9117,GT Classic,Porsche 911 RSR,,GT Classic Porsche 911 RSR,AMS2,Sports Car,,Yes,,,porsche_911_rsr_74
9118,GT Open,Ginetta G55 GT3,,GT Open Ginetta G55 GT3,AMS2,Sports Car,,Yes,,,ginetta_g55_gt3
9119,GT Open,Ultima GTR Race,,GT Open Ultima GTR Race,AMS2,Sports Car,,Yes,,,ultima_race
9120,GT1,McLaren F1 GTR,,GT1 McLaren F1 GTR,AMS2,Sports Car,,Yes,,,mclaren_f1_gtr
9121,GT1,Mercedes-Benz CLK LM,,GT1 Mercedes-Benz CLK LM,AMS2,Sports Car,,Yes,,,mercedes_clk-lm
9122,GT1,Nissan R390 GT1,,GT1 Nissan R390 GT1,AMS2,Sports Car,,Yes,,,nissan_r390_gt1
9123,GT1,Porsche 911 GT1-98,,GT1 Porsche 911 GT1-98,AMS2,Sports Car,,Yes,,,porsche_911_gt1_98
9124,GT1 2005,Aston Martin DBR9,,GT105 Aston Martin DBR9,AMS2,Sports Car,Historical Endurance 1,No,,,aston_martin_dbr9_gt1
9125,GT1 2005,Chevrolet Corvette C5-R,,GT105 Chevrolet Corvette C5-R,AMS2,Sports Car,Historical Endurance 1,No,,,corvette_c5r
9126,GT1 2005,Dodge Viper GTS-R,,GT105 Dodge Viper GTS-R,AMS2,Sports Car,Historical Endurance 1,No,,,dodge_viper_gts_r
9127,GT1 2005,Lamborghini Murcielago R-GT,,GT105 Lamborghini Murcielago R-GT,AMS2,Sports Car,Lamborghini 2,No,,,lamborghini_murcielago_r_gt
9128,GT1 2005,Maserati MC12 GT1,,GT105 Maserati MC12 GT1,AMS2,Sports Car,Historical Endurance 1,No,,,maserati_mc12_gt1
9129,GT2 2005,Milano GT36,,GT205 Milano GT36,AMS2,Sports Car,Historical Endurance 1,No,,,milano_gt36
9130,GT2 2005,Porsche 996 GT3 RSR,,GT205 Porsche 996 GT3 RSR,AMS2,Sports Car,Historical Endurance 1,No,,,porsche_996_gt3rsr
9131,GT3,Audi R8 LMS GT3,9013,GT3G1 Audi R8 LMS GT3,AMS2,Sports Car,,Yes,,,audi_r8_lms_gt3
9132,GT3,BMW M6 GT3,9013,GT3G1 BMW M6 GT3,AMS2,Sports Car,,Yes,,,bmw_m6_gt3
9133,GT3,McLaren 720S,9013,GT3G1 McLaren 720S,AMS2,Sports Car,,Yes,,,mclaren_720s_gt3
9134,GT3,Mercedes-AMG GT3,9013,GT3G1 Mercedes-AMG GT3,AMS2,Sports Car,,Yes,,,mercedes_amg_gt3
9135,GT3,Nissan GT-R Nismo GT3,9013,GT3G1 Nissan GT-R Nismo GT3,AMS2,Sports Car,,Yes,,,nissan_gt-r_gt3
9136,GT3,Porsche 911 GT3 R,9013,GT3G1 Porsche 911 GT3 R,AMS2,Sports Car,,Yes,,,porsche_991_gt3r
9137,GT3 Gen 2,Aston Martin Vantage GT3 EVO,9014,GT3G2 AM,AMS2,Sports Car,Endurance 3,No,,,aston_martin_vantage_gt3_evo
9138,GT3 Gen 2,Audi R8 LMS GT3 evo II,9014,GT3G2 Audi R8,AMS2,Sports Car,Endurance 2,No,,,audi_r8_lms_gt3_evo2
9139,GT3 Gen 2,BMW M4 GT3,9014,GT3G2 BMW,AMS2,Sports Car,Endurance 1,No,,,bmw_m4_gt3
9140,GT3 Gen 2,Chevrolet Corvette Z06 GT3.R,9014,GT3G2 Corvette,AMS2,Sports Car,Endurance 2,No,,,corvette_z06_gt3r
9141,GT3 Gen 2,Lamborghini Huracan GT3 EVO2,9014,GT3G2 Lambo,AMS2,Sports Car,Lamborghini 1,No,,,lamborghini_huracan_gt3_evo2
9142,GT3 Gen 2,McLaren 720S GT3 EVO,9014,GT3G2 McLaren,AMS2,Sports Car,Endurance 1,No,,,mclaren_720s_gt3_evo
9143,GT3 Gen 2,Mercedes-AMG GT3 EVO,9014,GT3G2 Merc,AMS2,Sports Car,Endurance 1,No,,,mercedes_amg_gt3_evo
9144,GT3 Gen 2,Porsche 992 GT3-R,9014,GT3G2 Porsche,AMS2,Sports Car,Endurance 1,No,,,porsche_992_gt3r
9145,GT4,Alpine A110 GT4 EVO,9009,GT4Alpine,AMS2,Sports Car,Endurance 3,No,,,alpine_a110_gt4_evo
9146,GT4,Aston Martin Vantage GT4 EVO,9009,GT4Aston Martin,AMS2,Sports Car,Endurance 3,No,,,aston_martin_vantage_gt4_evo
9147,GT4,Audi R8 LMS GT4,9009,GT4Audi R8,AMS2,Sports Car,,Yes,,,audi_r8_lms_gt4
9148,GT4,BMW M4 GT4,9009,GT4Bmw M4,AMS2,Sports Car,,Yes,,,bmw_m4_gt4
9149,GT4,Chevrolet Camaro GT4.R,9009,GT4 Chevrolet Camaro,AMS2,Sports Car,,Yes,,,camaro_gt4r
9150,GT4,Ginetta G55 GT4,9009,GT4 Ginetta,AMS2,Sports Car,,Yes,,,ginetta_g55_gt4
9151,GT4,McLaren 570S,9009,GT4 McLaren,AMS2,Sports Car,,Yes,,,mclaren_570s_gt4
9152,GT4,Mercedes-AMG GT4,9009,GT4 Mercedes,AMS2,Sports Car,,Yes,,,mercedes_amg_gt4
9153,GT4,Porsche Cayman GT4 Clubsport MR,9009,GT4 Porsche,AMS2,Sports Car,,Yes,,,porsche_cayman_gt4cs
9154,GT5,Ginetta G40,9005,GT5G40,AMS2,Sports Car,,Yes,,,ginetta_g40
9155,GT5,Puma P052,9005,GT5Puma,AMS2,Sports Car,,Yes,,,puma_p052
9156,GTE,Aston Martin Vantage GTE,,GTE Aston Martin Vantage,AMS2,Sports Car,Endurance 3,No,,,aston_martin_vantage_gte
9157,GTE,BMW M8 GTE,,GTE BMW M8,AMS2,Sports Car,Racin' USA 1,No,,,bmw_m8_gte
9158,GTE,Chevrolet Corvette C8.R,,GTE Chevrolet Corvette C8.R,AMS2,Sports Car,Racin' USA 1,No,,,corvette_c8r
9159,GTE,Porsche 911 RSR-19,,GTE Porsche 911 RSR-19,AMS2,Sports Car,Racin' USA 1,No,,,porsche_911_gte
9160,GTR 2004,BMW M3 E46 GTR,,GTR_04,AMS2,Sports Car,Historical Endurance 1,No,,,bmw_m3_gtr
9161,Hot Cars,Volkswagen Fusca 1 Hot Cars,,Volkswagen Fusca 1 Hot Cars,AMS2,Sports Car,,Yes,,,fusca_hotcars_m1
9162,Hot Cars,Volkswagen Fusca 2 Hot Cars,,Volkswagen Fusca 2 Hot Cars,AMS2,Sports Car,,Yes,,,fusca_hotcars_m2
9163,Hot Cars,Volkswagen Gol Hot Cars,,Volkswagen Gol Hot Cars,AMS2,Sports Car,,Yes,,,gol_hotcars
9164,Hot Cars,Volkswagen Passat Hot Cars,,Volkswagen Passat Hot Cars,AMS2,Sports Car,,Yes,,,pas_hotcars
9165,Hypercars,Aston Martin Valkyrie,,HC Aston Martin Valkyrie,AMS2,Sports Car,,Yes,,,aston_martin_valkyrie
9166,Hypercars,Brabham BT62,,HC Brabham BT62,AMS2,Sports Car,Supercars 1,No,,,brabham_bt62
9167,Hypercars,Lamborghini Veneno Roadster,,HC Lamborghini Veneno Roadster,AMS2,Sports Car,Lamborghini 1,No,,,lamborghini_veneno
9168,Hypercars,Lamborghini Revuelto,,HC Lamborghini Revuelto,AMS2,Sports Car,Lamborghini 2,No,,,lamborghini_revuelto
9169,Hypercars,McLaren Senna,,HC McLaren Senna,AMS2,Sports Car,Supercars 1,No,,,mclaren_senna
9170,JCW,MINI Cooper,9007,MiniChallenge,AMS2,Sports Car,,Yes,,,mini_cooper
9171,Kartcross,Kartcross,9033,Kartcross,AMS2,Rallycross,Adrenaline 1,No,,,rally_kart
9172,Karting 2T 125cc,Kart 2-Stroke 125cc Direct,,Kart125cc,AMS2,Kart,,Yes,,,kart_01
9173,Karting 4T Race,Kart 4-Stroke Race,,KartGX390,AMS2,Kart,,Yes,,,kart_gx390
9174,Karting 4T Rental,Kart 4-Stroke Rental,9037,KartRental,AMS2,Kart,,Yes,,,kart_gx390_rental
9175,Karting 2T Shifter,Kart 2-Stroke 125cc Shifter,,KartShifter,AMS2,Kart,,Yes,,,kart_shifter
9176,Lancer Cup,Mitsubishi Lancer R,,Mitsubishi Lancer R,AMS2,Sports Car,,Yes,,,mitsubishi_lancerr
9177,Lancer Cup,Mitsubishi Lancer RS,,Mitsubishi Lancer RS,AMS2,Sports Car,,Yes,,,mitsubishi_lancerrs
9178,LES Ligier JS2 R,Ligier JS2 R,9011,LES Ligier JS2 R,AMS2,Sports Car,Endurance 3,No,,,ligier_js2r
9179,LES Ligier JS P4,Ligier JS P4,9012,LES Ligier JS P4,AMS2,Sports Car,Endurance 3,No,,,ligier_js_p4
9180,LMDh/GTP,Alpine A424,9015,LMDh Alpine,AMS2,Sports Car,Endurance 2,No,,,alpine_a424
9181,LMDh/GTP,Aston Martin Valkyrie Hypercar,9015,LMDh AM,AMS2,Sports Car,Endurance 3,No,,,aston_martin_valkyrie
9182,LMDh/GTP,BMW M Hybrid V8,9015,LMDh BMW,AMS2,Sports Car,Endurance 1,No,,,bmw_m_hybrid_v8
9183,LMDh/GTP,Cadillac V-Series.R,9015,LMDh Cadillac,AMS2,Sports Car,Endurance 1,No,,,cadillac_v-series_r
9184,LMDh/GTP,Lamborghini SC63,9015,LMDh Lambo,AMS2,Sports Car,Lamborghini 1,No,,,lamborghini_sc63
9185,LMDh/GTP,Porsche 963,9015,LMDh Porsche,AMS2,Sports Car,Endurance 1,No,,,porsche_963_gtp
9186,LMP1 2005,Audi R8 LMP1,,LMP12005 Audi R8 LMP1,AMS2,Sports Car,Historical Endurance 1,No,,,audi_r8_lmp
9187,LMP1 2005,Courage C60 Hybrid,,LMP12005 Courage C60 Hybrid,AMS2,Sports Car,Historical Endurance 1,No,,,courage_c60
9188,LMP1 2005,Dallara SP1,,LMP12005 Dallara SP1,AMS2,Sports Car,Historical Endurance 1,No,,,dallara_sp1
9189,LMP2 2005,Lola B05/40 Turbo,,LMP22005 Lola Turbo,AMS2,Sports Car,Historical Endurance 1,No,,,lola_b0540_lmp2
9190,LMP2 2005,Lola B05/40 V8,,LMP22005 Lola V8,AMS2,Sports Car,Historical Endurance 1,No,,,lola_b0540_lmp2
9191,LMP2 Gen 2,Ligier JS P217,9010,LMP2G2 Ligier JS P217,AMS2,Sports Car,Endurance 2,No,,,ligier_js_p217
9192,LMP2 Gen 2,Oreca 07,9010,LMP2G2 Oreca 07,AMS2,Sports Car,Endurance 2,No,,,oreca_07
9193,M1 Procar,BMW M1 Procar,,Procar,AMS2,Sports Car,,Yes,,,bmw_m1_procar
9194,Old Stock Race,Chevrolet Opala,9027,OldStock,AMS2,Oval,,Yes,,,opala_oldstock
9195,P1 Gen 1,Ginetta G58,,P1 Gen 1 Ginetta G58,AMS2,Sports Car,,Yes,,,ginetta_g58
9196,P1 Gen 1,Metalmoro AJR Judd,,P1 Gen 1 Judd,AMS2,Sports Car,,Yes,,,metalmoro_ajr_judd
9197,P1 Gen 1,Metalmoro AJR Nissan,,P1 Gen 1 Nissan,AMS2,Sports Car,,Yes,,,metalmoro_ajr_powertec
9198,P1 Gen 1,Metalmoro AJR Honda,,P1 Gen 1 Honda,AMS2,Sports Car,,Yes,,,metalmoro_ajr_honda
9199,P1 Gen 1,Metalmoro AJR Chevrolet,,P1 Gen 1 Chevrolet,AMS2,Sports Car,,Yes,,,metalmoro_ajr_chevy
9200,P1 Gen 2,Ligier JS P320,,P1 Gen 2 Ligier JS P320,AMS2,Sports Car,,Yes,,,ligier_js_p320
9201,P1 Gen 2,Metalmoro AJR Gen2 Chevrolet,,P1 Gen 2 Metalmoro AJR Gen2 Chevrolet,AMS2,Sports Car,,Yes,,,metalmoro_ajr_gen2
9202,P1 Gen 2,Metalmoro AJR Gen2 Honda,,P1 Gen 2 Metalmoro AJR Gen2 Honda,AMS2,Sports Car,,Yes,,,metalmoro_ajr_gen2
9203,P1 Gen 2,Metalmoro AJR Gen2 Nissan,,P1 Gen 2 Metalmoro AJR Gen2 Nissan,AMS2,Sports Car,,Yes,,,metalmoro_ajr_gen2
9204,P1 Gen 2,Ginetta G58 Gen2,,P1 Gen 2 Ginetta G58 Gen2,AMS2,Sports Car,,Yes,,,ginetta_g58_gen2
9205,P1 Gen 2,Sigma P1 G5,,P1 Gen 2 Sigma P1 G5,AMS2,Sports Car,,Yes,,,sigma_p1_g5
9206,P2,Metalmoro MRX Duratec P2,9017,P2 Metalmoro MRX Duratec P2,AMS2,Sports Car,,Yes,,,metalmoro_mrx_sharkfin
9207,P2,Sigma P1,9017,P2 Sigma P1,AMS2,Sports Car,,Yes,,,sigma_p1
9208,P3,Metalmoro MRX Honda P3,,P3 Metalmoro MRX Honda,AMS2,Sports Car,,Yes,,,metalmoro_mrx_honda
9209,P3,Metalmoro MRX Duratec P3,,P3 Metalmoro MRX Duratec,AMS2,Sports Car,,Yes,,,metalmoro_mrx_p3
9210,P3,Roco 001,,P3 Roco 001,AMS2,Sports Car,,Yes,,,roco
9211,P4,MCR S2000,9008,P4 MCR S2000,AMS2,Sports Car,,Yes,,,mcr2000
9212,P4,Metalmoro MRX Duratec P4,9008,P4 Metalmoro MRX Duratec,AMS2,Sports Car,,Yes,,,metalmoro_mrx
9213,Rallycross,Citroen DS3RX,9034,Citroen DS3RX,AMS2,Rallycross,Adrenaline 1,No,,,citroen_ds3_rx
9214,Rallycross,Mini Countryman R60 RX,9034,Mini Countryman R60 RX,AMS2,Rallycross,Adrenaline 1,No,,,mini_rx
9215,Rallycross,Mitsubishi Lancer Evo10 RX,9034,Mitsubishi Lancer Evo10 RX,AMS2,Rallycross,Adrenaline 1,No,,,mitsubishi_lancer_rc
9216,Rallycross,Volkswagen Polo RX,9034,Volkswagen Polo RX,AMS2,Rallycross,Adrenaline 1,No,,,vw_polo_rx
9217,Sprint Race,Sprint Race,,SprintRace,AMS2,Sports Car,,Yes,,,sprintrace
9218,Stock Car Brasil 1979,Chevrolet Opala Stock Cars 1979,,,AMS2,Sports Car,,Yes,,,opala_79
9219,Stock Car Brasil 1986,Chevrolet Opala Stock Cars 1986,,,AMS2,Sports Car,,Yes,,,opala_86
9220,Stock Car Brasil 1999,Chevrolet Omega Stock Car 1999,,StockCar99,AMS2,Sports Car,,Yes,,,stock_omega
9221,Stock Car Brasil 2019,Chevrolet Cruze Stock Car 2019,,StockCarV8,AMS2,Sports Car,,Yes,,,stock_cruze
9222,Stock Car Brasil 2020,Chevrolet Cruze Stock Car 2020,,StockCarV8_2020 Chevrolet,AMS2,Sports Car,,Yes,,,stock_cruze_20
9223,Stock Car Brasil 2020,Toyota Corolla Stock Car 2020,,StockCarV8_2020 Toyota,AMS2,Sports Car,,Yes,,,stock_corolla
9224,Stock Car Brasil 2021,Chevrolet Cruze Stock Car 2021,,Chevrolet Cruze Stock Car 2021,AMS2,Sports Car,,Yes,,,stock_cruze_21
9225,Stock Car Brasil 2021,Toyota Corolla Stock Car 2021,,Toyota Corolla Stock Car 2021,AMS2,Sports Car,,Yes,,,stock_corolla_21
9226,Stock Car Pro Series 2022,Chevrolet Cruze Stock Car 2022,,Chevrolet Cruze Stock Car 2022,AMS2,Sports Car,,Yes,,,stock_cruze_22
9227,Stock Car Pro Series 2022,Toyota Corolla Stock Car 2022,,Toyota Corolla Stock Car 2022,AMS2,Sports Car,,Yes,,,stock_corolla_22
9228,Stock Car Pro Series 2023,Chevrolet Cruze Stock Car 2023,,Chevrolet Cruze Stock Car 2023,AMS2,Sports Car,,Yes,,,stock_cruze_23
9229,Stock Car Pro Series 2023,Toyota Corolla Stock Car 2023,,Toyota Corolla Stock Car 2023,AMS2,Sports Car,,Yes,,,stock_corolla_23
9230,Stock Car Pro Series 2024,Chevrolet Cruze Stock Car 2024,,Chevrolet Cruze Stock Car 2024,AMS2,Sports Car,,Yes,,,stock_cruze_24
9231,Stock Car Pro Series 2024,Toyota Corolla Stock Car 2024,,Toyota Corolla Stock Car 2024,AMS2,Sports Car,,Yes,,,stock_corolla_24
9232,Stock USA Gen 1,Stock USA Gen1,9029,Stock_USA_Gen1,AMS2,Oval,,Yes,,,stock_usa_g1
9233,Stock USA Gen 2,Stock USA Gen2,9030,Stock_USA_Gen2,AMS2,Oval,,Yes,,,stock_usa_g2
9234,Stock USA Gen 3,Stock USA Gen3,9031,Stock_USA_Gen3,AMS2,Oval,,Yes,,,stock_usa_g3
9235,Stock USA Gen 3 LM,Stock USA Gen3 LM,,,AMS2,Sports Car,,Yes,,,stock_usa_g3_lm
9236,Street Cars,Chevrolet Camaro SS,,Chevrolet Camaro SS,AMS2,Sports Car,,Yes,,,camaro_ss
9237,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,,Super Trofeo,AMS2,Sports Car,Lamborghini 1,No,,,lamborghini_huracan_supertrofeo_evo2
9238,Diablo Super Trofeo,Lamborghini Diablo SV-R Super Trofeo,,ST96,AMS2,Sports Car,Lamborghini 2,No,,,lamborghini_diablo_svr
9239,Supercars,Audi R8 V10 GT,,SC Audi R8 V10 GT,AMS2,Sports Car,,Yes,,,audi_r8_v10_gt
9240,Supercars,Chevrolet Corvette C8 Z06,,SC Chevrolet Corvette C8 Z06,AMS2,Sports Car,Supercars 1,No,,,
9241,Supercars,Dodge Viper ACR,,SC Dodge Viper ACR,AMS2,Sports Car,,Yes,,,dodge_viper_acr
9242,Supercars,Maserati GT2 Stradale,,SC Maserati GT2 Stradale,AMS2,Sports Car,,Yes,,,maserati_gt2_stradale
9243,Supercars,McLaren F1 LM,,SC McLaren F1 LM,AMS2,Sports Car,,Yes,,,mclaren_f1_lm
9244,Supercars,Ultima GTR (640),,SC Ultima GTR (640),AMS2,Sports Car,,Yes,,,ultima
9245,Super Kart,Super Kart 250cc,,SuperKart,AMS2,Kart,,Yes,,,superkart
9246,Super Trophy Trucks,Super Trophy Truck,9035,STT,AMS2,Rallycross,Adrenaline 2,No,,,super_trophy_truck
9247,Super V8,Super V8 (Gen2 ZB),,SuperV8,AMS2,Sports Car,,Yes,,,super_v8
9248,TSI Cup,Volkswagen Polo,9004,TSI Polo,AMS2,Sports Car,,Yes,,,vw_polo
9249,TSI Cup,Volkswagen Polo GTS,9004,TSI Polo GTS,AMS2,Sports Car,,Yes,,,vw_polo_gts
9250,TSI Cup,Volkswagen Virtus,9004,TSI Virtus,AMS2,Sports Car,,Yes,,,vw_virtus
9251,TSI Cup,Volkswagen Virtus GTS,9004,TSI Virtus GTS,AMS2,Sports Car,,Yes,,,vw_virtus_gts
