car_id,championship_id
9,1
9,2
16,2
10,2
3,2
16,3
285,4
333,5
334,5
183,6
185,7
324,8
325,8
326,8
327,8
328,8
329,8
330,8
331,8
332,8
370,8
371,8
316,9
317,9
318,9
319,9
320,9
321,9
322,9
323,9
359,9
360,9
361,9
362,9
363,9
364,9
359,10
360,10
361,10
362,10
363,10
364,10
316,10
317,10
318,10
319,10
320,10
321,10
322,10
323,10
283,11
280,12
281,12
284,13
282,14
224,15
252,16
267,17
324,18
325,18
326,18
327,18
328,18
329,18
330,18
331,18
332,18
370,18
371,18
373,19
197,20
411,21
412,22
413,23
250,24
350,25
392,26
393,26
394,26
395,26
392,27
393,27
394,27
395,27
425,28
3,29
13,30
4,31
6,31
49,32
56,32
95,32
106,32
113,32
118,32
144,32
145,33
43,34
48,34
63,34
83,34
94,34
103,34
114,34
117,34
146,34
68,34
42,34
54,34
59,34
86,34
149,34
57,34
43,35
48,35
63,35
83,35
94,35
103,35
114,35
117,35
146,35
68,35
42,35
54,35
59,35
86,35
149,35
57,35
43,36
48,36
63,36
83,36
94,36
103,36
114,36
117,36
146,36
68,36
42,36
54,36
59,36
86,36
149,36
57,36
5,37
12,38
88,39
158,40
166,41
64,42
65,43
167,44
168,44
67,45
120,46
8,47
162,48
163,48
15,48
7,49
44,50
45,50
46,50
121,51
104,52
134,53
135,53
136,53
179,53
128,54
129,54
169,55
138,56
139,56
140,56
124,57
125,57
126,57
357,58
358,58
357,59
358,59
349,60
186,61
187,61
188,61
189,61
190,61
191,61
279,62
245,63
246,63
247,63
249,63
268,64
269,65
270,65
310,66
311,66
312,66
313,66
314,66
315,66
390,67
391,67
379,68
380,68
381,68
382,68
383,68
384,68
385,68
386,68
387,68
388,68
389,68
379,69
380,69
381,69
382,69
383,69
384,69
385,69
386,69
387,69
388,69
389,69
379,70
380,70
381,70
382,70
383,70
384,70
385,70
386,70
387,70
388,70
389,70
180,71
181,71
427,72
428,72
429,72
430,72
